"Variable","Importance"
"pedestrian",49.4883259968296
"motorcycle",45.3469490651019
"bicycle",39.2583559211371
"tree",22.7773509586776
"postOrPole",21.927266427326
"moped",21.7086192073404
"roadLane",18.2512130622901
"speedLimit",18.1071261288247
"truck",16.2424997191618
"vanOrUtility",12.2219584459138
"fence",10.8617778502645
"cliffBank",10.1413502152176
"suv",9.63926507834445
"bus",8.35687490054521
"ditch",7.87648099645321
"NumberOfLanes",7.38564897953203
"houseOrBuilding",7.37048300492233
"otherVehicleType",7.0726430468145
"weather",6.65274646683061
"waterRiver",6.38074729770003
"bridge",6.26991803391993
"carStationWagon",6.16563031918638
"overBank",5.99424547039331
"trafficIsland",5.91656717724336
"guardRail",5.50074537277227
"parkedVehicle",5.24410138128961
"kerb",4.78066369739043
"train",3.98003333509031
"strayAnimal",3.93139551000033
"region",3.75842016646017
"trafficControl",3.68100980017429
"advisorySpeed",3.52532965649418
"flatHill",3.28565955904703
"urban",2.96690314691378
"light",2.68828067135155
"roadCharacter",2.39335934088656
"schoolBus",2.19973792201845
"slipOrFlood",2.15743274704163
"trafficSign",2.15731256138192
"streetLight",2.0082462588038
"roadworks",1.87907499752765
"roadSurface",1.30626992720389
"unknownVehicleType",1.14324968758038
"holiday",0.939760387741861
"temporarySpeedLimit",0.86812752796868
"taxi",0.633503060445478
"crashFinancialYear",0.446506203443169
"vehicle",0.417461709761838
