"Feature","Gain","Cover","Frequency"
"carStationWagon",0.205631007166449,0.071684254245386,0.0656102995791037
"speedLimit",0.166385947620347,0.0466064440843223,0.0685813320128745
"pedestrian",0.113316049885022,0.0576111355051707,0.0292151522654122
"motorcycle",0.101891151429218,0.0670338832895782,0.0232730873978708
"bicycle",0.0611331400614858,0.0478189773921757,0.0205496410002476
"roadLane",0.0485362020671509,0.0218015401462972,0.0302054964100025
"region",0.0373999008126868,0.0486168098850214,0.0834364941817281
"crashFinancialYear",0.0350307455807125,0.0538039627828293,0.13295370141124
"tree",0.0241032303862556,0.0339966056485014,0.0133696459519683
"light",0.0208299836306223,0.0402213666003607,0.0428323842535281
"NumberOfLanes",0.019039231325143,0.027344209565899,0.0502599653379549
"weather",0.0189964944374529,0.0262653857268332,0.0435751423619708
"streetLight",0.017468857480099,0.014732184054872,0.0393661797474622
"postOrPole",0.016736297769896,0.0293452657948603,0.0143599900965586
"moped",0.0163820374412519,0.0360444072784285,0.0121317157712305
"fence",0.00974956517450002,0.0175159780382668,0.0155979202772964
"truck",0.00828502858827452,0.0422644711139311,0.0222827432532805
"vanOrUtility",0.00784052395791258,0.0189362458636064,0.0193117108195098
"trafficControl",0.00691911525936887,0.0116848663226833,0.0363951473136915
"suv",0.00571793294042729,0.0196276203150723,0.0175786085664769
"guardRail",0.0055817022361859,0.00712315030251784,0.0131220599158207
"flatHill",0.00527956449688464,0.0118789782620574,0.0217875711809854
"advisorySpeed",0.00522224639794758,0.0202461314545619,0.0165882644218866
"parkedVehicle",0.0044674579206515,0.0196203363355685,0.0227779153255756
"cliffBank",0.00421656494813453,0.0254580241708311,0.0138648180242634
"roadCharacter",0.00379346268885241,0.00489804585638723,0.0133696459519683
"holiday",0.00354046158510542,0.00790591706117452,0.0143599900965586
"houseOrBuilding",0.00343626819009377,0.0160124618212621,0.0111413716266403
"roadSurface",0.00290532464380457,0.00201144895165472,0.0118841297350829
"waterRiver",0.00257092353275136,0.0162018641019127,0.00519930675909879
"strayAnimal",0.00205490493416664,0.0136905781214114,0.00544689279524635
"otherVehicleType",0.00178674085637858,0.016096704195494,0.00569447883139391
"trafficSign",0.00170311754380851,0.00133579616096526,0.00643723693983659
"ditch",0.00162812067708992,0.0130412590096359,0.00940826937360733
"bus",0.00157823067835935,0.0167036920355101,0.0076751671205744
"overBank",0.00150939624742591,0.0126214001462925,0.0044565486506561
"kerb",0.001459294649889,0.00708340746170141,0.00742758108442684
"train",0.00134733093601066,0.0129726036617121,0.0044565486506561
"trafficIsland",0.00122582795510111,0.010063638425711,0.00618965090368903
"bridge",0.000880891276982988,0.0104950809486679,0.00420896261450854
"temporarySpeedLimit",0.000583935208535408,0.00631174775272082,0.00371379054221342
"slipOrFlood",0.000539541109350031,0.00468028528446118,0.00222827432532805
"roadworks",0.000449430284516395,0.00791653339075059,0.00247586036147561
"taxi",0.000419071971637926,0.000566578147035072,0.00247586036147561
"vehicle",0.000350481772153734,0.0013894652423519,0.00222827432532805
"schoolBus",7.72642439068211e-05,0.000719258043555157,0.000495172072295123
